"","OverallQual","YearBuilt","TotalBsmtSF","GrLivArea","FullBath","TotRmsAbvGrd","GarageCars","GarageArea","Fireplaces","GarageYrBlt","MasVnrArea","X1stFlrSF","SalePrice"
"1",7,2003,856,1710,2,8,2,548,0,2003,196,856,208500
"2",6,1976,1262,1262,2,6,2,460,1,1976,0,1262,181500
"3",7,2001,920,1786,2,6,2,608,1,2001,162,920,223500
"4",7,1915,756,1717,1,7,3,642,1,1998,0,961,140000
"5",8,2000,1145,2198,2,9,3,836,1,2000,350,1145,250000
"6",5,1993,796,1362,1,5,2,480,0,1993,0,796,143000
"7",8,2004,1686,1694,2,7,2,636,1,2004,186,1694,307000
"8",7,1973,1107,2090,2,7,2,484,2,1973,240,1107,200000
"9",7,1931,952,1774,2,8,2,468,2,1931,0,1022,129900
"10",5,1939,991,1077,1,5,1,205,2,1939,0,1077,118000
"11",5,1965,1040,1040,1,5,1,384,0,1965,0,1040,129500
"12",9,2005,1175,2324,3,11,3,736,2,2005,286,1182,345000
"13",5,1962,912,912,1,4,1,352,0,1962,0,912,144000
"14",7,2006,1494,1494,2,7,3,840,1,2006,306,1494,279500
"15",6,1960,1253,1253,1,5,1,352,1,1960,212,1253,157000
"16",7,1929,832,854,1,5,2,576,0,1991,0,854,132000
"17",6,1970,1004,1004,1,5,2,480,1,1970,180,1004,149000
"18",4,1967,0,1296,2,6,2,516,0,1967,0,1296,90000
"19",5,2004,1114,1114,1,6,2,576,0,2004,0,1114,159000
"20",5,1958,1029,1339,1,6,1,294,0,1958,0,1339,139000
"21",8,2005,1158,2376,3,9,3,853,1,2005,380,1158,325300
"22",7,1930,637,1108,1,6,1,280,1,1930,0,1108,139400
"23",8,2002,1777,1795,2,7,2,534,1,2002,281,1795,230000
"24",5,1976,1040,1060,1,6,2,572,1,1976,0,1060,129900
"25",5,1968,1060,1060,1,6,1,270,1,1968,0,1060,154000
"26",8,2007,1566,1600,2,7,3,890,1,2007,640,1600,256300
"27",5,1951,900,900,1,5,2,576,0,2005,0,900,134800
"28",8,2007,1704,1704,2,7,3,772,1,2008,200,1704,306000
"29",5,1957,1484,1600,1,6,1,319,2,1957,0,1600,207500
"30",4,1927,520,520,1,4,1,240,0,1920,0,520,68500
"31",4,1920,649,1317,1,6,1,250,0,1920,0,649,40000
"32",5,1966,1228,1228,1,6,1,271,0,1966,0,1228,149350
"33",8,2007,1234,1234,2,7,2,484,0,2007,0,1234,179900
"34",5,1959,1398,1700,1,6,2,447,1,1959,0,1700,165500
"35",9,2005,1561,1561,2,6,2,556,1,2005,246,1561,277500
"36",8,2004,1117,2452,3,9,3,691,1,2004,132,1132,309000
"37",5,1994,1097,1097,1,6,2,672,0,1995,0,1097,145000
"38",5,1954,1297,1297,1,5,2,498,1,1954,650,1297,153000
"39",5,1953,1057,1057,1,5,1,246,0,1953,0,1057,109000
"40",4,1955,0,1152,2,6,0,0,0,1978.50616388687,0,1152,82000
"41",6,1965,1088,1324,2,6,2,440,1,1965,101,1324,160000
"42",5,1959,1350,1328,1,5,1,308,2,1959,0,1328,170000
"43",5,1983,840,884,1,5,2,504,0,1983,0,884,144000
"44",5,1975,938,938,1,5,1,308,0,1977,0,938,130250
"45",5,1959,1150,1150,1,6,1,300,0,1959,0,1150,141000
"46",9,2005,1752,1752,2,6,2,576,1,2005,412,1752,319900
"47",7,2003,1434,2149,1,6,2,670,1,2003,0,1518,239686
"48",8,2006,1656,1656,2,7,3,826,0,2006,0,1656,249700
"49",4,1920,736,1452,2,8,0,0,0,1978.50616388687,0,736,113000
"50",5,1966,955,955,1,6,1,386,0,1966,0,955,127000
"51",6,1997,794,1470,2,6,2,388,0,1997,0,794,177000
"52",6,1934,816,1176,1,6,2,528,1,1985,0,816,114500
"53",5,1963,816,816,1,5,2,516,0,1963,0,816,110000
"54",9,1981,1842,1842,0,5,3,894,1,1981,0,1842,385000
"55",5,1955,384,1360,1,6,2,572,1,1962,0,1360,130000
"56",6,1964,1425,1425,2,7,2,576,1,1964,272,1425,180500
"57",8,1999,970,1739,2,7,2,480,0,1999,456,983,172500
"58",7,2004,860,1720,2,7,2,565,0,2004,0,860,196500
"59",10,2006,1410,2945,3,10,3,641,1,2006,1031,1426,438780
"60",5,1972,780,780,1,4,1,352,0,1973,0,780,124900
"61",6,2004,1158,1158,1,5,2,576,0,2006,0,1158,158000
"62",5,1920,530,1111,1,6,1,288,0,1935,0,581,101000
"63",8,2006,1370,1370,2,6,2,484,1,2006,178,1370,202500
"64",7,1921,576,1710,2,9,2,480,0,1990,0,902,140000
"65",7,1997,1057,2034,2,8,2,645,0,1998,573,1057,219500
"66",8,2004,1143,2473,2,9,3,852,1,2004,344,1143,317000
"67",7,1970,1947,2207,2,7,2,576,1,1970,287,2207,180000
"68",7,2003,1453,1479,2,7,2,558,0,2003,167,1479,226000
"69",4,1945,747,747,1,4,1,220,0,1945,0,747,80000
"70",7,1953,1304,2287,2,7,2,667,1,1953,0,1304,225000
"71",7,1973,2223,2223,2,8,2,516,2,1973,1115,2223,244000
"72",4,1982,845,845,1,4,2,360,0,1987,0,845,129500
"73",7,1998,832,1718,2,7,2,427,1,1998,40,885,185000
"74",5,1954,1086,1086,1,6,2,490,0,1989,104,1086,144900
"75",3,1915,840,1605,2,8,1,379,0,1915,0,840,107400
"76",4,1973,462,988,1,5,1,297,0,1973,0,526,91000
"77",4,1956,952,952,1,4,1,283,0,1956,0,952,135750
"78",5,1948,672,1285,1,6,1,240,0,1948,0,1072,127000
"79",4,1968,1768,1768,2,8,0,0,0,1978.50616388687,0,1768,136500
"80",5,1910,440,1230,1,5,2,440,0,1966,0,682,110000
"81",6,1968,896,2142,2,8,1,509,1,1968,576,1182,193500
"82",6,1998,1237,1337,2,5,2,405,0,1998,443,1337,153500
"83",8,2007,1563,1563,2,6,3,758,1,2007,468,1563,245000
"84",5,1960,1065,1065,1,6,2,461,0,1974,66,1065,126500
"85",7,1995,384,1474,2,7,2,400,1,1995,22,804,168500
"86",8,1991,1288,2417,2,9,2,462,1,1991,284,1301,260000
"87",6,2005,684,1560,2,6,2,400,1,2005,0,684,174000
"88",6,2009,612,1224,2,4,2,528,0,2009,76,612,164500
"89",3,1915,1013,1526,1,6,0,0,0,1978.50616388687,0,1013,85000
"90",4,1994,990,990,1,5,0,0,0,1978.50616388687,0,990,123600
"91",4,1950,0,1040,1,4,2,420,0,1950,0,1040,109900
"92",5,1961,1235,1235,1,6,2,480,0,1961,203,1235,98600
"93",5,1921,876,964,1,5,2,432,0,1921,0,964,163500
"94",6,1910,1214,2291,2,9,2,506,1,1900,0,1260,133900
"95",6,1997,824,1786,2,7,2,684,0,1997,0,905,204750
"96",6,1993,680,1470,2,6,2,420,1,1993,68,680,185000
"97",7,1999,1588,1588,2,6,2,472,0,1999,183,1588,214000
"98",4,1965,960,960,1,6,1,432,0,1965,48,960,94750
"99",5,1920,458,835,1,5,1,366,0,1920,0,835,83000
"100",4,1959,950,1225,1,6,0,0,0,1978.50616388687,0,1225,128950
"101",6,1977,1610,1610,2,6,2,480,2,1977,28,1610,205000
"102",6,1985,741,1732,2,7,2,476,1,1985,336,977,178000
"103",5,1979,0,1535,2,8,2,410,0,1979,0,1535,118964
"104",7,2009,1226,1226,2,6,3,740,0,2009,0,1226,198900
"105",7,1931,1040,1818,1,7,1,240,2,1951,600,1226,169500
"106",8,2003,1053,1992,2,9,2,648,1,2003,768,1053,250000
"107",4,1885,641,1047,1,6,1,273,0,1954,0,1047,100000
"108",5,1948,789,789,1,5,1,250,0,1948,0,789,115000
"109",5,1919,793,1517,2,7,0,0,0,1978.50616388687,0,997,115000
"110",6,1977,1844,1844,2,7,2,546,1,1977,480,1844,190000
"111",6,1954,994,1855,2,7,1,325,0,1954,0,1216,136900
"112",7,2000,384,1430,2,7,2,400,1,2000,0,774,180000
"113",7,2007,1264,2696,2,10,3,792,1,2007,220,1282,383970
"114",6,1953,1809,2259,2,7,2,450,2,1953,184,2259,217000
"115",6,1945,1028,2320,2,9,1,180,1,1945,0,1436,259500
"116",6,1999,729,1458,2,5,2,440,1,1999,1129,729,176000
"117",5,1962,1092,1092,1,6,1,288,1,1962,116,1092,139000
"118",5,2006,1125,1125,1,5,2,430,0,2007,0,1125,155000
"119",7,1990,1673,3222,3,11,3,594,2,1990,0,1699,320000
"120",6,2005,728,1456,2,8,2,390,1,2005,0,728,163990
"121",6,1969,938,988,1,4,2,540,2,1969,0,988,180000
"122",4,1939,732,1123,1,4,1,264,0,1979,0,772,100000
"123",6,1958,1080,1080,1,5,1,288,0,1958,135,1080,136000
"124",6,1993,1199,1199,2,5,2,530,0,1993,0,1199,153900
"125",6,1979,1362,1586,2,7,2,435,1,1979,0,1586,181000
"126",6,1935,520,754,1,5,0,0,0,1978.50616388687,0,520,84500
"127",6,1976,1078,958,2,5,2,440,1,1977,0,958,128000
"128",5,1930,672,840,1,5,0,0,1,1978.50616388687,0,840,87000
"129",6,1966,660,1348,1,6,2,453,1,1966,266,660,155000
"130",5,1958,1008,1053,1,6,2,750,0,1998,85,1053,150000
"131",7,1966,924,2157,2,8,2,487,2,1966,309,1216,226000
"132",6,2000,992,2054,2,7,2,390,1,2000,40,1022,244000
"133",5,1959,1063,1327,1,7,2,624,0,1974,0,1327,150750
"134",8,2001,1267,1296,2,6,2,471,0,2001,136,1296,220000
"135",5,1968,1461,1721,2,7,2,440,1,1968,0,1721,180000
"136",7,1970,1304,1682,2,7,2,530,1,1970,288,1682,174000
"137",5,1967,1214,1214,2,5,1,318,1,1967,196,1214,143000
"138",7,1988,1907,1959,3,9,3,766,0,1989,70,1959,171000
"139",8,1999,1004,1852,2,7,3,660,2,1999,320,1004,230000
"140",6,1997,928,1764,2,7,2,470,0,1997,0,928,231500
"141",4,1971,864,864,1,5,0,0,1,1978.50616388687,0,864,115000
"142",7,2005,1734,1734,2,7,2,660,0,2005,0,1734,260000
"143",5,1952,910,1385,2,6,2,720,0,2000,0,910,166000
"144",7,1999,1490,1501,2,6,2,577,0,1999,183,1501,204000
"145",5,1963,1728,1728,2,10,2,504,0,1963,336,1728,125000
"146",6,2004,970,1709,2,7,2,380,0,2004,50,970,130000
"147",5,1931,715,875,1,5,1,180,0,1931,0,875,105000
"148",7,2001,884,2035,2,8,2,434,1,2001,180,884,222500
"149",7,2004,1080,1080,1,6,0,0,0,1978.50616388687,120,1080,141000
"150",5,1936,896,1344,1,7,1,240,0,1936,0,896,115000
"151",5,1975,969,969,1,5,2,440,0,1975,0,969,122000
"152",8,2007,1710,1710,2,6,3,866,1,2007,436,1710,372402
"153",6,1971,825,1993,2,8,2,495,1,1971,252,1097,190000
"154",6,1960,1602,1252,1,4,2,564,1,1960,0,1252,235000
"155",6,1923,1200,1200,1,7,1,312,0,1923,0,1200,125000
"156",6,1924,572,1096,1,5,0,0,0,1978.50616388687,0,572,79000
"157",5,1950,0,1040,1,5,2,625,0,1950,0,1040,109500
"158",8,2009,774,1968,2,8,3,680,1,2009,84,774,269500
"159",7,2004,991,1947,2,8,2,678,1,2004,0,991,254900
"160",7,2005,1392,2462,2,9,2,576,1,2006,456,1392,320000
"161",6,1984,1232,1232,2,6,2,516,0,1984,0,1232,162500
"162",9,2003,1572,2668,2,10,3,726,2,2003,664,1572,412500
"163",7,2005,1541,1541,2,7,2,532,1,2005,226,1541,220000
"164",4,1956,882,882,1,4,0,0,0,1978.50616388687,0,882,103200
