"","Id","SalePrice","OverallQual","GrLivArea","GarageCars","ExterQual","GarageArea","TotalBsmtSF","X1stFlrSF","KitchenQual","BsmtQual","FullBath","GarageFinish","TotRmsAbvGrd","YearBuilt","FireplaceQu","YearRemodAdd","GarageYrBlt","MasVnrArea","Fireplaces","HeatingQC","BsmtFinSF1","GarageType_NoGarage","GarageType_2Types","GarageType_Attchd","GarageType_Basment","GarageType_BuiltIn","GarageType_CarPort","GarageType_Detchd","Foundation_PConc","Foundation_CBlock","Foundation_BrkTil","Foundation_Wood","Foundation_Slab","Foundation_Stone","BsmtExposure","LotFrontage","WoodDeckSF","X2ndFlrSF","OpenPorchSF","BsmtFinType1","HalfBath","GarageQual","LotArea","GarageCond","LotShape_Reg","LotShape_IR1","LotShape_IR2","LotShape_IR3"
"1",1,208500,0.666666666666667,0.25923134890731,0.5,0.5,0.386459802538787,0.140098199672668,0.11977971546581,0.5,0.8,0.666666666666667,0.66,0.5,2003,0,0.883333333333333,0.936363636363636,0.1225,0,4,0.125088589652729,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.207667731629393,0,0,0,0,0,0,0.0280610467142094,0,1,0,0,0
"2",2,181500,0.555555555555556,0.174830444611907,0.5,1,0.324400564174894,0.206546644844517,0.212941716383662,1,0.8,0.666666666666667,0.66,0.333333333333333,1976,3,0.433333333333333,0.690909090909091,0,1,4,0.173281360737066,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.191693290734824,0.256709451575263,0.290556900726392,0.208409506398537,0,0,0,0.0501753815419638,0,1,0,0,0
"3",3,223500,0.666666666666667,0.273549359457423,0.5,0.5,0.428772919605078,0.150572831423895,0.134465351078476,0.5,0.8,0.666666666666667,0.66,0.333333333333333,2001,3,0.866666666666667,0.918181818181818,0.10125,1,4,0.0861091424521616,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.159744408945687,0,0,0,0,0,0,0.0232293433064647,0,1,0,0,0
"4",4,140000,0.666666666666667,0.260550113036925,0.75,1,0.452750352609309,0.123731587561375,0.143873336392841,0.5,1,0.333333333333333,0.33,0.416666666666667,1915,4,0.333333333333333,0.890909090909091,0,1,3,0.0382707299787385,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.223642172523962,0,0.348668280871671,0,0,0,0,0.0260168645032405,0,1,0,0,0
"5",5,250000,0.777777777777778,0.351168048229088,0.75,0.5,0.589562764456982,0.187397708674304,0.186094538779257,0.5,0.8,0.666666666666667,0.66,0.583333333333333,2000,3,0.833333333333333,0.909090909090909,0.21875,1,4,0.116052445074415,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.23961661341853,0,0,0,0,0,0,0.0456456595972032,0,1,0,0,0
"6",6,143000,0.444444444444444,0.193669932177845,0.5,1,0.338504936530324,0.130278232405892,0.106011932078935,1,0.8,0.333333333333333,0.33,0.25,1993,0,0.75,0.845454545454545,0,0,4,0.129695251594614,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.246006389776358,0,0,0.0658135283363803,0,0,0,0.0387233152918767,0,1,0,0,0
"7",7,307000,0.777777777777778,0.25621703089676,0.5,0.5,0.44851904090268,0.275941080196399,0.31206975676916,0.5,1,0.666666666666667,0.66,0.416666666666667,2004,4,0.916666666666667,0.945454545454545,0.11625,1,4,0.242558469170801,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.166134185303514,0,0.116222760290557,0,0,0,0,0.028990220446468,0,1,0,0,0
"8",8,200000,0.666666666666667,0.330821401657875,0.5,1,0.34132581100141,0.181178396072013,0.177374942634236,1,0.8,0.666666666666667,0.66,0.416666666666667,1973,3,0.383333333333333,0.663636363636364,0.15,2,4,0.152197023387668,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0.105431309904153,0,0.346731234866828,0,1,0,0,0.0207019907547214,0,1,0,0,0
"9",9,129900,0.666666666666667,0.27128862094951,0.5,1,0.330042313117066,0.155810147299509,0.157870582836163,1,1,0.666666666666667,0.33,0.5,1931,3,0,0.281818181818182,0,2,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.230031948881789,0,0,0,1,0,0,0.0500731724314154,0,1,0,0,0
"10",10,118000,0.444444444444444,0.139977392614921,0.25,1,0.144569816643159,0.162193126022913,0.170491050940799,1,1,0.333333333333333,0.66,0.25,1939,3,0,0.354545454545455,0,2,4,0.150779588944011,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.335463258785943,0,0,0,1,0,0,0.0393505075611512,0,0,1,0,0
